OD in Inches,OD in mm,5S,10S,40S,80S,10,20,30,STD,40,60,XS,80,100,120,140,160,XXS
0.125,10.3,,0.28,0.36,0.48,,,,0.37,0.37,,0.47,0.47,,,,,
0.25,13.7,,0.51,0.64,0.82,,,,0.63,0.63,,0.8,0.8,,,,,
0.375,17.1,,0.64,0.86,1.12,,,,0.84,0.84,,1.1,1.1,,,,,
0.5,21.3,0.82,1.01,1.3,1.65,,,,1.27,1.27,,1.62,1.62,,,,1.95,2.55
0.75,26.7,1.04,1.31,1.71,2.24,,,,1.69,1.69,,2.2,2.2,,,,2.9,3.64
1,33.4,1.33,2.13,2.55,3.29,,,,2.5,2.5,,3.24,3.24,,,,4.24,5.45
1 1/4,42.2,1.68,2.76,3.46,4.65,,,,3.39,3.39,,4.47,4.47,,,,5.61,7.77
1 1/2,48.3,1.95,3.17,4.13,5.51,,,,4.05,4.05,,5.41,5.41,,,,7.25,9.56
2,60.3,2.44,4.01,5.54,7.63,,,,5.44,5.44,,7.48,7.48,,,,11.11,13.44
2 1/2,73,3.77,5.36,8.81,11.64,,,,8.63,8.63,,11.41,11.41,,,,14.92,20.39
3,88.9,4.6,6.59,11.52,15.59,,,,11.29,11.29,,15.27,15.27,,,,21.35,27.68
3 1/2,101.6,5.29,7.55,13.84,19.01,,,,13.57,13.57,,18.63,18.63,,,,,
4,114.3,5.96,8.52,16.4,22.77,,,,16.07,16.07,,22.32,22.32,,28.32,,33.54,41.03
5,141.3,9.67,11.82,22.2,31.59,,,,21.77,21.77,,30.97,30.97,,40.28,,49.11,57.43
6,168.3,11.55,14.13,28.83,43.42,,,,28.26,28.26,,42.56,42.56,,54.2,,67.56,79.22
8,219.1,15.09,20.37,43.39,65.65,,33.31,36.81,42.55,42.55,53.08,64.64,64.64,75.92,90.44,100.92,111.27,107.92
10,273.1,23.08,28.34,61.52,83.19,,41.77,51.03,60.31,60.31,81.55,81.55,96.01,114.75,133.06,155.15,172.33,155.14
12,323.9,31.89,36.73,75.52,99.43,,49.73,65.2,73.88,79.73,108.96,97.46,132.08,159.91,186.97,208.14,238.76,186.97
14,355.6,35.06,42.14,,,54.69,67.9,81.33,81.33,94.55,126.71,107.39,158.1,194.96,224.65,253.56,281.7,
16,406.4,42.41,48.26,,,62.64,77.83,93.27,93.27,123.3,160.12,123.3,203.53,245.56,286.64,333.19,365.35,
18,457,47.77,60.46,,,70.57,87.71,122.38,105.16,155.8,205.74,139.15,254.55,309.62,363.56,408.26,459.37,
20,508,60.46,70,,,78.55,117.15,155.12,117.15,183.42,247.83,155.12,311.17,381.53,441.49,508.11,564.81,
22,559,66.57,77.06,,,86.54,129.13,171.09,129.13,,294.25,171.09,373.83,451.42,527.02,600.63,672.26,
24,610,84.16,96.37,,,94.53,141.12,209.64,141.12,255.41,355.26,187.06,442.08,442.08,640.03,720.15,808.22,
26,660,,,,,127.36,202.72,,152.83,,,202.72,,,,,,
28,711,,,,,137.32,218.69,271.21,164.85,,,218.69,,,,,,
30,762,120.72,150.36,,,147.28,234.67,292.18,176.84,,,234.67,,,,,,
32,813,,,,,157.24,250.64,312.15,188.82,342.91,,250.64,,,,,,
34,864,,,,,167.2,266.61,332.12,200.31,364.9,,266.61,,,,,,
36,914,,,,,176.96,282.27,351.7,212.56,420.42,,282.27,,,,,,
38,965,,,,,,,,224.54,,,298.24,,,,,,
40,1016,,,,,,,,236.53,,,314.22,,,,,,
42,1067,,,,,,,,248.52,,,330.19,,,,,,
44,1118,,,,,,,,260.5,,,346.16,,,,,,
46,1168,,,,,,,,272.25,,,351.82,,,,,,
48,1219,,,,,,,,284.24,,,377.79,,,,,,
